sequence,frames,annotations,tracks,objects_per_frame,median_bbox_area,mean_bbox_area,occlusion_rate,heavy_occlusion_rate,truncation_rate,n_pedestrian,n_car,n_van,n_truck,n_bus
uav0000013_00000_v,269,4061,29,15.096654275092936,1536.0,1920.7185422309776,0.4777148485594681,0.021915784289583847,0.01403595173602561,4061,0,0,0,0
uav0000013_01073_v,58,536,16,9.241379310344827,2223.0,3772.2985074626868,0.3582089552238806,0.0,0.03917910447761194,536,0,0,0,0
uav0000013_01392_v,118,1301,20,11.025423728813559,1827.0,2707.8078401229823,0.5664873174481169,0.0,0.010760953112990008,1301,0,0,0,0
uav0000020_00406_v,501,6042,20,12.059880239520957,1562.0,2134.8253889440584,0.6312479311486263,0.010427010923535254,0.019695465077788812,6042,0,0,0,0
uav0000071_03240_v,181,3117,40,17.22099447513812,8294.0,17153.065126724414,0.2797561758100738,0.004812319538017324,0.05453962143086301,1225,1829,63,0,0
uav0000072_04488_v,85,5465,79,64.29411764705883,2448.0,3677.2720951509605,0.35992680695333945,0.0909423604757548,0.027996340347666973,4862,416,85,102,0
uav0000072_05448_v,217,7359,103,33.91244239631337,3042.0,7970.2914798206275,0.2656610952575078,0.014404130996059247,0.08221225710014948,5762,1108,304,185,0
uav0000072_06432_v,97,6863,105,70.75257731958763,1425.0,2646.2181261838846,0.31181698965467,0.059012093836514644,0.015153722861722278,5870,760,194,39,0
uav0000076_00720_v,361,5777,53,16.002770083102494,7990.0,22156.47412151636,0.47741042063354683,0.0995326293924182,0.1833131383070798,2455,1872,48,1402,0
uav0000079_00480_v,361,8583,42,23.775623268698062,2520.0,2866.990213212164,0.3396248397996039,0.07444949318420133,0.03693347314458814,8563,0,0,20,0
uav0000084_00000_v,516,21191,67,41.06782945736434,1647.0,2675.901373224482,0.3609079326129017,0.0852720494549573,0.02151856920390732,21191,0,0,0,0
uav0000099_02109_v,1255,8878,31,7.074103585657371,1379.0,1660.1535255688218,0.33104302770894345,0.14012164902004956,0.10959675602613202,8878,0,0,0,0
uav0000124_00944_v,398,42548,132,106.90452261306532,2340.0,4713.407704239918,0.5355363354329228,0.02808592648303093,0.019060825420701324,8219,32963,1288,0,78
uav0000126_00001_v,412,50040,188,121.45631067961165,2581.0,4111.0198441247,0.5487410071942446,0.07400079936051158,0.04392486011191047,5075,43160,1057,112,636
uav0000138_00000_v,213,22418,164,105.24882629107981,3267.0,5442.339370148988,0.4916584887144259,0.017218306717816042,0.05210099027567133,8458,12510,803,0,647
uav0000140_01590_v,256,13135,197,51.30859375,5106.0,9312.715340692805,0.2280167491435097,0.0017510468214693568,0.03730491054434716,1417,11364,235,51,68
uav0000143_02250_v,261,13346,115,51.13409961685824,7980.0,12313.323692492133,0.611269294170538,0.026150157350517008,0.06309006443878315,3712,8645,421,189,379
uav0000145_00000_v,307,3450,25,11.237785016286646,1464.0,5086.486376811594,0.3672463768115942,0.10608695652173913,0.015942028985507246,1293,1569,427,0,161
uav0000150_02310_v,348,15466,67,44.44252873563219,4620.0,7663.236389499548,0.41542738911159965,0.013966119229277124,0.011573774731669468,6788,7515,396,767,0
uav0000218_00001_v,225,1009,14,4.484444444444445,4056.0,13429.30921704658,0.49157581764122893,0.0,0.06640237859266601,4,956,49,0,0
uav0000222_03150_v,421,13614,70,32.33729216152019,3869.0,10908.727486411048,0.6892904363155575,0.04363155575143235,0.07602468047598061,304,8239,2468,1559,1044
uav0000239_03720_v,680,12081,107,17.766176470588235,1326.0,2486.827911596722,0.19998344507904975,0.050161410479264965,0.07168280771459316,1990,8557,779,541,214
uav0000239_12336_v,341,9516,88,27.90615835777126,780.0,1288.898276586801,0.16971416561580496,0.005674653215636823,0.026271542664985287,1090,7987,320,25,94
uav0000243_00001_v,768,15721,233,20.470052083333332,1394.0,2329.1132243495963,0.22644869919216334,0.0049615164429743655,0.07397748234845111,1609,13680,182,250,0
uav0000244_01440_v,721,33364,194,46.2746185852982,1610.0,2492.955221196499,0.4611857091475842,0.012018942572832994,0.03021220477161012,4813,22292,2536,2343,1380
uav0000248_00001_v,677,26506,72,39.152141802067945,930.0,898.6303855730778,0.0591186901079001,0.0,0.01973138157398325,1945,14313,7602,1969,677
uav0000263_03289_v,725,4290,36,5.917241379310345,3433.5,13197.612587412588,0.47249417249417247,0.19953379953379954,0.13426573426573427,0,1490,383,1660,757
uav0000264_02760_v,616,10939,60,17.758116883116884,986.0,2466.971021117104,0.26373525916445745,0.0761495566322333,0.036200749611481856,157,7075,825,2658,224
uav0000266_03598_v,548,3505,18,6.395985401459854,6490.0,23641.265905848788,0.579172610556348,0.30271041369472185,0.08302425106990015,1644,1691,0,170,0
uav0000266_04830_v,116,590,6,5.086206896551724,6656.0,24208.35593220339,0.6694915254237288,0.43559322033898307,0.05593220338983051,348,141,0,101,0
uav0000270_00001_v,680,29007,104,42.65735294117647,1476.0,3537.6871100079293,0.20219257420622608,0.007170682938601027,0.018650670527803635,6116,22218,422,0,251
